Clase,m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
cavallo,3886710.0,531197895.0,561825945.0,83852133225.0,78576385950.0,85876709805.0,14460785524965.0,12482536363470.0,12176861472150.0,13781764664955.0,11253147539.823845,1791454905.3926678,4664478258.230887,-75254784432.22014,-128010381428.78125,-77847309373.73438,19736252644.864105,0.000744920176482752,0.00011858823494167816,0.0003087726305040255,-2.5268459844122417e-06,-4.298231942551491e-06,-2.613895748588419e-06,6.626883741582872e-07
cavallo,2554080.0,273148860.0,324372240.0,32859142410.0,36449506455.0,47319040830.0,4303237281600.0,4579313872335.0,5473323018945.0,7632064460250.0,3646940866.078273,1759164894.9680488,6123248183.482429,9028498013.526724,29878694409.56836,-34096707151.384766,67146083620.132385,0.0005590616846106065,0.0002696730563515449,0.0009386698524749401,8.660226806082716e-07,2.8659946523643523e-06,-3.2705907098741208e-06,6.4407203991109435e-06
cavallo,361845.0,21551835.0,49619175.0,1450932915.0,2919751785.0,7048399665.0,106035869955.0,195083296425.0,411274557255.0,1040514007695.0,167284966.6596195,-35613834.08033816,244208567.4841433,-310390955.0754817,361779557.2486572,1232444021.9064941,7003438969.257129,0.0012776495970961972,-0.0002720029281314881,0.0018651585021887756,-3.940965359659194e-06,4.593435084482659e-06,1.5648069373901077e-05,8.89211168206165e-05
cavallo,3399405.0,399879015.0,420379995.0,60640293105.0,45155831205.0,62808645315.0,10467438960435.0,6249576687615.0,6463067652975.0,10745636220165.0,13601700575.610231,-4294333846.326607,10823271346.261345,134204193427.65756,-239070041791.45312,136856112910.67969,301669845953.49866,0.0011770296211729746,-0.00037161221953346227,0.0009365969278419262,6.298814435692927e-06,-1.1220646627479976e-05,6.423281103204023e-06,1.4158740736588358e-05
cavallo,1450950.0,204738990.0,204037485.0,30534513450.0,29649024165.0,30255739545.0,4776193267890.0,4536064465755.0,4491102801495.0,4680266242065.0,1644438653.3356795,857936532.0421821,1563299912.259228,3481002204.6012416,76700397.46679688,-19481285290.466797,-14070963471.394106,0.0007811110522872312,0.0004075212571656391,0.0007425700174514666,1.3726922485104742e-06,3.024589898885321e-08,-7.682215562488632e-06,-5.548718831813932e-06
cavallo,4386255.0,546058275.0,441987165.0,80288574015.0,51635083875.0,51416272965.0,13034679902115.0,7140059600895.0,5735143168875.0,6785977185945.0,12308112392.049305,-3389247563.103885,6878813554.9253,-25238746357.97976,-106456129510.46094,17218999304.79883,218637319458.32697,0.0006397402869445905,-0.00017616334166293074,0.0003575409467587368,-6.263730856008669e-07,-2.6420192737310917e-06,4.273396773566749e-07,5.426122616162176e-06
cavallo,2831265.0,362779320.0,311356275.0,56351753340.0,42673889175.0,38560973265.0,9812540610570.0,6908652668565.0,5589231767505.0,5409885620895.0,9867642873.596317,2778783022.014314,4320896839.135366,63257409998.81651,-499968142.97265625,37117528410.41797,218962946701.6928,0.0012309839281197314,0.00034665190903741415,0.0005390299012818309,4.689862452749048e-06,-3.7067306760456944e-08,2.7518689562870513e-06,1.6233767748296563e-05
cavallo,1745475.0,244719165.0,211988130.0,41815616295.0,32269886115.0,31558922400.0,7870042937145.0,5771052844665.0,5120644135725.0,5470258489890.0,7505488840.698322,2548716712.108841,5812940784.166546,-97161765126.76869,-22128927856.646484,76934820250.875,225459316218.92993,0.002463495185008095,0.0008365546177596618,0.0019079572212379835,-2.413855751453781e-05,-5.497639911191305e-06,1.9113440159031576e-05,5.6012389900887345e-05
cavallo,3155370.0,389097360.0,381039870.0,55445061570.0,42704765085.0,55094371800.0,8696116483920.0,5605567505085.0,5810325164145.0,9077402030610.0,7464395100.150313,-4282310114.340554,9080312425.151123,18123114883.943375,-33805352105.24414,50742978948.83203,231189256678.06696,0.0007497112621910237,-0.0004301080098039013,0.0009120112745923372,1.0247244843639753e-06,-1.9114358776967274e-06,2.8691300182896544e-06,1.3071996362491475e-05
cavallo,5733675.0,953164500.0,843454065.0,176694101220.0,143759252115.0,135968259555.0,35254053034350.0,27427264355415.0,23746258012455.0,23588915056455.0,18240306043.215485,3543688425.273524,11891683926.799206,-184050628896.97687,256419487578.28125,100342443575.94531,88601639990.38594,0.0005548377171042047,0.00010779270870505361,0.0003617239067611015,-2.3380544708014667e-06,3.2573794119910725e-06,1.2746824078781312e-06,1.1255351950784153e-06
cavallo,2280720.0,291186795.0,278817765.0,44566033035.0,32989179150.0,38673565965.0,7562899701255.0,4805318743140.0,4382340921360.0,5955478279665.0,7389286401.317646,-2608373982.086871,4588125367.471492,-13815359953.438448,23165034782.839844,82510290405.64844,105843538031.75348,0.0014205566507589464,-0.0005014480163144536,0.0008820462019330091,-1.7586615852493134e-06,2.948852359319464e-06,1.0503358480215612e-05,1.3473623923710451e-05
cavallo,4023645.0,710874465.0,592725825.0,132525067995.0,110519848350.0,100004728785.0,25774410527835.0,21587380720920.0,19463455709460.0,18631580049765.0,6931854630.243377,5800457415.02473,12689892704.299398,-88716988011.52783,15441749206.679688,86256705595.89844,161103748395.21027,0.00042816398440334694,0.00035828030024509175,0.0007838241440058921,-2.731855018816145e-06,4.754965313304673e-07,2.6560957418671923e-06,4.9608546623151906e-06
cavallo,1895415.0,198101340.0,226475190.0,25181087820.0,22186842885.0,30325905600.0,3543909441930.0,2676038338215.0,2869999174875.0,4498157877570.0,4476312923.845015,-1483455501.2397423,3265334861.9104004,-23612402492.308372,-22654350821.0459,54958245540.8584,94320248759.61964,0.001245982126626208,-0.00041291997937498035,0.0009089062683077702,-4.773966799853922e-06,-4.580267455933223e-06,1.1111484300496032e-05,1.9069712888346045e-05
cavallo,1825035.0,222554565.0,188049750.0,30823560795.0,24911018340.0,22966506150.0,4646545275645.0,3657653639820.0,3232556368200.0,3268237163640.0,3684062427.93349,1979222341.7814713,3590051191.5676947,-10753892121.888582,-1088705524.8652344,24023206416.29883,161961285093.02563,0.0011060750236049637,0.0005942267378008,0.0010778498014442316,-2.389943760666728e-06,-2.419537918795965e-07,5.338914658533817e-06,3.599425755720373e-05
cavallo,1727370.0,228997905.0,191457060.0,31266622785.0,25969695465.0,24945205170.0,4384503634245.0,3629767219515.0,3474733068195.0,3730604153550.0,908308993.2883133,588181581.2001814,3724617905.057574,-1350483460.8937101,8307790293.714844,37355577390.68945,140091159578.6075,0.0003044127712356933,0.0001971245319004626,0.0012482770363947762,-3.4437041817854056e-07,2.1184689042344168e-06,9.525593004167146e-06,3.572294856189928e-05
cavallo,1771995.0,235379790.0,230791575.0,33360965070.0,29751044565.0,32373524745.0,4978444131090.0,4092841279545.0,4071721314075.0,4884854462805.0,2094711192.0578504,-905741970.6670022,2314325316.682974,-9494499305.90291,-11596352799.173828,7376762239.232422,65546093425.12152,0.0006671126391972504,-0.00028845595458426094,0.0007370541943095476,-2.271516191286165e-06,-2.7743751718232376e-06,1.7648571373602652e-06,1.5681607601798662e-05
cavallo,1423920.0,280234800.0,190694100.0,55647798300.0,37360376655.0,27892156020.0,11148269776020.0,7384841519355.0,5451842051505.0,4421329595670.0,496144322.92263925,-169205747.57879442,2354036059.040117,1208538554.720478,-1017332361.9804688,7842607480.921875,55444458453.10193,0.00024470162097483736,-8.345337999009247e-05,0.0011610259613313207,4.995127001535532e-07,-4.2048342860190364e-07,3.241503569528912e-06,2.2916282680668013e-05
cavallo,1881900.0,241661205.0,231334725.0,34542752625.0,28573711860.0,30708238065.0,5313409710885.0,3970874353950.0,3662863678440.0,4397369260935.0,3510212106.3475556,-1132770100.7012246,2271150551.9410534,-23859749886.29094,15592455761.708984,-1991890265.5058594,64156133385.67612,0.0009911520309471586,-0.0003198517217452357,0.0006412875957189386,-4.91105198337354e-06,3.209394950036877e-06,-4.0999074532191914e-07,1.320525603205647e-05
cavallo,1123530.0,142694175.0,141205485.0,21177359085.0,16641269910.0,19835703105.0,3461653074225.0,2318297874570.0,2206751428350.0,3075909290625.0,3054453974.3837957,-1292563799.4246473,2088968265.6230145,-3845277588.625956,-14952337377.210938,12412964997.430664,57870046945.397316,0.002419715123668479,-0.0010239591756838232,0.0016548647148010324,-2.873862686448517e-06,-1.1174996726025945e-05,9.27713438421872e-06,4.3250601483579646e-05
cavallo,9061170.0,1264632465.0,1508666445.0,216101147145.0,202634652480.0,279995121675.0,41270656400625.0,33948789258480.0,36797452095030.0,55834387356195.0,39601283271.79419,-7924090508.282644,28805215485.298462,56258771438.7263,180255482055.57812,358305494993.5625,-376253093337.7891,0.00048232603232219883,-9.651190110155244e-05,0.0003508347242147465,2.2763002591885625e-07,7.293362262099218e-07,1.4497488485166215e-06,-1.5223670762489337e-06
cavallo,1862265.0,193991505.0,222169260.0,24598998045.0,21566835120.0,29749863660.0,3461478938295.0,2583592446930.0,2764942651290.0,4423005395490.0,4390969642.938519,-1576460335.8756678,3244946213.263041,-15801830622.162403,-22643167303.44336,42054784919.47168,99582148892.98145,0.001266127589771421,-0.00045456928372129303,0.0009356739540533782,-3.3389022104241853e-06,-4.784466000694654e-06,8.886110583263696e-06,2.1041553033180517e-05
cavallo,11563485.0,1458131820.0,1401462915.0,250476495330.0,179978456085.0,227710983495.0,48833114924850.0,31161681269985.0,29676177339435.0,42479566487475.0,66609053594.52732,3256847425.3740153,57857491911.77079,450009909771.44244,-16751962886.53125,172845725262.96875,857273792414.8181,0.00049814500550226,2.4356783216122097e-05,0.0004326952429347236,9.896923747049562e-07,-3.684205518620897e-08,3.801340650031251e-07,1.8853747816759449e-06
cavallo,1510110.0,107010750.0,159194970.0,9341103390.0,11746554855.0,19903669020.0,914719220490.0,1042256232465.0,1550253534375.0,2952885735810.0,1758013008.7943256,465540136.91489255,3121422380.1519747,3625948640.189433,-8456809863.491699,41668169175.1875,196534558173.88452,0.0007709121979010329,0.0002041455713722737,0.0013687854274245343,1.2938984407701123e-06,-3.0177628483147935e-06,1.4869041036031794e-05,7.013220087015539e-05
cavallo,12454455.0,1609785675.0,1818599820.0,275846406825.0,231283543440.0,330204378660.0,53253994814505.0,39412863333330.0,41962482849870.0,65307854432850.0,67775486063.29621,-3777399715.9693666,64652389006.17477,79318976114.64362,110250902954.0,385463084486.125,-1789683726201.2456,0.0004369413893418528,-2.4352496394548235e-05,0.0004168071129765948,1.448989638762932e-07,2.0140504059672368e-07,7.041593864483602e-07,-3.2693729835595884e-06
cavallo,8964270.0,1118358855.0,1307622660.0,194118769635.0,167294187945.0,232035818940.0,38073116480445.0,29765314981845.0,30137712877875.0,45361245933780.0,54595246965.90246,4158608493.504866,41292231236.20755,233046880414.5262,411476334367.33594,-23705083551.46875,-532575790738.64844,0.00067939911567773,5.175093236049802e-05,0.0005138525227985662,9.68625664286494e-07,1.7102418921282798e-06,-9.852675247643881e-08,-2.2135742738522977e-06
cavallo,7812180.0,892618320.0,1228969440.0,142924802100.0,146398346055.0,237064959540.0,26818059715140.0,24347912346765.0,28509524502615.0,48542792528340.0,40934389027.12886,5976512858.102222,43730207338.448845,1133184576052.206,498013377122.3281,-457860943728.03125,-2509764813801.5386,0.0006707239744031743,9.792720869978891e-05,0.0007165344143302226,6.643088702276354e-06,2.919512945251573e-06,-2.684126599295635e-06,-1.4713040251588818e-05
cavallo,3723000.0,484667535.0,408926160.0,74841182415.0,56466200655.0,58141166370.0,12734589509265.0,9076537424805.0,8238217156485.0,9559726576650.0,11746200012.911295,3231380895.6082144,13225613232.115067,-66671573010.791176,14810816836.550781,-40570957629.86719,268283555722.45605,0.0008474446050356583,0.00023313210261943757,0.0009541787616015771,-2.4929186760913295e-06,5.537916721123302e-07,-1.5169898266242472e-06,1.0031398035868286e-05
cavallo,3899715.0,528904425.0,513494775.0,81815686905.0,68171637270.0,74019817215.0,13799830465335.0,10299723619590.0,9809805580530.0,11544874643295.0,10082267723.192955,-1471826088.7017014,6405418739.136858,-31383062866.91189,-74115770330.51172,158367244602.71484,111452586856.18839,0.0006629678794832006,-9.678114564940377e-05,0.00042119362382321925,-1.0449924540516884e-06,-2.4679050942242826e-06,5.273308608551361e-06,3.7111454909027397e-06
cavallo,7103025.0,1001517090.0,1173485010.0,164367274740.0,171195287340.0,210283968570.0,29847613704540.0,29027239818060.0,31403073482880.0,39896531854320.0,23154695372.4674,5735459678.711877,16413460062.047384,142483714518.08896,254871029211.125,-141788064521.78125,-267621256544.55124,0.0004589362738597503,0.00011367934025816455,0.00032532201701857905,1.0596364048318394e-06,1.8954490483526841e-06,-1.054462928946529e-06,-1.9902711485349837e-06
cavallo,4662930.0,640048980.0,540539310.0,102688155240.0,80348261610.0,74215894110.0,18304839385320.0,13580003635590.0,11536216328670.0,11580030703560.0,14832944718.066286,6152072944.203221,11555132388.233627,137491538830.11612,-12789008573.261719,-77228834253.7539,297722204517.2579,0.0006821966562317642,0.000282946081927856,0.000531443541885997,2.928388772083745e-06,-2.7238904612375374e-07,-1.6448724993124618e-06,6.341091010593805e-06
cavallo,4339590.0,489977910.0,440425545.0,69179720100.0,44135680755.0,52426526355.0,11032451471880.0,5702539912845.0,4775189825295.0,7073877676605.0,13856901057.655428,-5592240096.9032755,7727681374.587788,92319913922.5483,-55692477355.9707,-9112154173.99414,184536055775.3616,0.0007358151347908534,-0.0002969534734761199,0.0004103475148306478,2.353280203977832e-06,-1.4196287550944013e-06,-2.3227331051504608e-07,4.703915206643648e-06
cavallo,3165825.0,508782120.0,427925190.0,90636806790.0,72645802755.0,65052024900.0,17333853775800.0,13377783387435.0,11421142947615.0,10898809539330.0,8870049110.186876,3873623190.556992,7209292520.119205,-83480249364.554,-118677473335.75,-80613788316.32422,156751510824.82028,0.000885018228239749,0.00038649471839315733,0.0007193145397233941,-4.681300034391561e-06,-6.655045525583261e-06,-4.5205582504869494e-06,8.790113333402842e-06
cavallo,1189320.0,165299160.0,158943540.0,27223952490.0,21371065245.0,25423553040.0,4818790286040.0,3497147285145.0,3383393490585.0,4495758853890.0,4249637506.054889,-719905771.5694675,4181962124.4082346,-146248138091.1376,58987880684.26172,42288306002.14453,-19679588206.40079,0.003004377092519918,-0.000508953623878396,0.0029565324549344634,-9.480768458215965e-05,3.823983306097522e-05,2.74140678253744e-05,-1.275760646071636e-05
cavallo,4030275.0,528069045.0,489013755.0,81319237095.0,60920230830.0,67445669355.0,13709838125145.0,9036791103420.0,8186160394410.0,10290187990725.0,12128693946.651056,-3153071015.3366055,8111144395.983547,-123398448512.09125,-3819546173.2109375,114209966288.39844,138329274723.92667,0.0007466974635182886,-0.00019411736661843678,0.0004993588735400336,-3.784190558551922e-06,-1.1713186625034174e-07,3.502412561360057e-06,4.242065777110045e-06
cavallo,4114680.0,515372085.0,401510505.0,77158694835.0,45679688670.0,47263745355.0,12884594759685.0,6279431807370.0,5019306067020.0,6494445807915.0,12607287192.79034,-4610323217.012585,8084347291.151771,62133424544.23803,-94809385284.19922,-823950955.5253906,304707847099.3558,0.0007446454065708922,-0.00027230727386925893,0.0004774994004199896,1.809193949822634e-06,-2.760648837574543e-06,-2.3991709689617526e-08,8.872448243105208e-06
cavallo,4336530.0,486463245.0,498565290.0,68322619965.0,58577112585.0,65117823570.0,10954158518175.0,8476485869535.0,7711984456245.0,9342606000450.0,13752148012.556454,2649057476.9375553,7798411876.137832,204487119408.54077,27189997200.410156,-201919974170.96875,62946560880.09223,0.0007312835893968379,0.0001408661583982842,0.0004146879907902381,5.221677784317464e-06,6.943097675183243e-07,-5.1561244854352736e-06,1.6073709654547376e-06
cavallo,1069470.0,82993320.0,128869095.0,6976828560.0,10189799235.0,16235191335.0,622981769310.0,866237263125.0,1301862814605.0,2137251047025.0,536356957.596566,189262483.66952708,706711203.6087265,-1681152041.0390694,-3831674049.2197266,-3636731621.4208984,10626755587.066729,0.0004689393806594794,0.00016547306903925786,0.0006178808896419045,-1.4212990828562517e-06,-3.239418374434544e-06,-3.074607883130619e-06,8.984195123898661e-06
cavallo,4435980.0,561085680.0,439944360.0,85843422360.0,54826527960.0,53478646410.0,14505799729170.0,8014056619590.0,6641253834420.0,7176424131150.0,14874405299.2688,-819908767.1188749,9846565134.653946,-114903392182.99896,-292169146555.5156,39629343142.44922,-80486508943.29018,0.0007558932238495067,-4.1666437667287934e-05,0.0005003865172238924,-2.7724192238704825e-06,-7.0495339009860266e-06,9.561871992647949e-07,-1.9419996260964804e-06
cavallo,3957600.0,369309870.0,556332480.0,49504476510.0,48021985050.0,85288679040.0,8011717538760.0,5937710711220.0,6891394529940.0,14112149612940.0,15041726338.326033,-3893083644.556697,7083244356.618562,584840698884.3988,-294712918901.6211,27069380585.13672,131418835455.05148,0.0009603596139549991,-0.00024855925589170575,0.00045223943468101693,1.8769722161434892e-05,-9.458438196453781e-06,8.687575157377779e-07,4.2177212238750484e-06
cavallo,2085900.0,207089580.0,354554805.0,22801656810.0,34146623385.0,62890285095.0,2716396462740.0,3660179744535.0,5903417342475.0,11593884910935.0,2241661534.782396,-1053820382.4058683,2624160281.4480414,7524981092.977834,-6327059804.005859,17877016464.195312,11896300739.284798,0.0005152085617218614,-0.00024220306014449846,0.0006031195269020493,1.1974894689803133e-06,-1.0068580095139356e-06,2.8448628226639215e-06,1.893120351944813e-06
cavallo,721140.0,96239550.0,86519460.0,14088115560.0,11240417340.0,11602450530.0,2212063661280.0,1609910143560.0,1493348696490.0,1716118953240.0,1244491597.6591215,-306014554.83734226,1222195713.055162,-228715397.74358565,1353213467.6386719,18375473771.626953,30835678497.219006,0.002393055647171308,-0.0005884409826049325,0.002350182483012911,-5.17900630317093e-07,3.0642016880269365e-06,4.1609220640973246e-05,6.982397113406777e-05
cavallo,1016685.0,61654920.0,136500735.0,4483836870.0,8152276305.0,19094858745.0,365438471730.0,581492582595.0,1130925050745.0,2787048110415.0,744892004.8683225,-125550058.49134602,768188581.143719,3179642839.54483,-5282545149.130127,6666664118.314453,17086061891.488016,0.0007206435115008704,-0.00012146302340342237,0.0007431817135802677,3.050789896160896e-06,-5.068473467066182e-06,6.396501921632059e-06,1.6393660424827233e-05
cavallo,1512405.0,190499790.0,198650610.0,28494518550.0,25420018995.0,27629083230.0,4719399702060.0,3877838065245.0,3561164895915.0,4074927040710.0,4499510605.670209,398348550.66009265,1536822986.6312623,-3218545626.3002315,34803876579.31836,-23588472640.38672,42200433159.169586,0.0019671119237018664,0.0001741514250028326,0.0006718736961774922,-1.1441669768483254e-06,1.2372497044305164e-05,-8.385511520756398e-06,1.5001913173100019e-05
cavallo,4042515.0,477782025.0,439989240.0,66416422545.0,55161699195.0,55552086090.0,10231659869505.0,7894380786375.0,7166667998175.0,7947242417190.0,9947698640.920326,3159678159.7259145,7663449606.084022,30526154898.355373,-81294291663.71094,-86795988808.1875,232740213717.13995,0.0006087224793749269,0.00019334794838911826,0.0004689440455695883,9.290583768161066e-07,-2.4741780584220102e-06,-2.6416212832828193e-06,7.083409158338818e-06
cavallo,4136100.0,558998250.0,543995580.0,84018000780.0,70016415135.0,80229728430.0,13683336069750.0,10093769465085.0,9892704813945.0,13043619800490.0,8468801412.70654,-3505157657.663374,8681363772.58447,39080432043.0775,-9145617127.882812,-28403777336.929688,207889355907.787,0.0004950395400115049,-0.00020489223326384875,0.0005074647661715904,1.1232638456427357e-06,-2.6286661965553716e-07,-8.163915927820736e-07,5.9752307018452155e-06
cavallo,1711815.0,335060310.0,154501950.0,66741062790.0,30098183205.0,17375010480.0,13523469875490.0,5980345110585.0,3386703888345.0,2295161132970.0,1158385142.4177008,-143093605.05511525,3430248602.2255316,6507494635.408709,12565665499.011719,11654647828.38086,107755837136.23613,0.0003953113860014102,-4.8832231415032044e-05,0.0011706092210790897,1.6973513483417216e-06,3.2775054721530397e-06,3.039884519967452e-06,2.810598021236697e-05
cavallo,2673675.0,397095945.0,333499710.0,63306412455.0,46483591470.0,47885983860.0,10653126030375.0,6966303285060.0,6381969788520.0,7641036947370.0,4329465168.795417,-3048001748.949933,6287039870.889839,-35213353982.784515,-24812660281.535156,30294803926.566406,99576718368.6891,0.0006056434428114774,-0.0004263811350728693,0.000879486108340297,-3.0125610339539977e-06,-2.1227643793725317e-06,2.5917708913802736e-06,8.518953968235517e-06
cavallo,7211910.0,671991300.0,1009737780.0,73140932940.0,94007261640.0,173348090160.0,8775541609830.0,10369926792900.0,16069415174040.0,33104026429440.0,10526132245.636097,-78078227.15224822,31974947073.171616,-1191487643.1041224,144032754395.21875,-60948542039.859375,-120007130596.36676,0.0002023802952972814,-1.5011681687650428e-06,0.0006147651463780715,-8.530290016000552e-09,1.031182466646215e-06,-4.3635260731526386e-07,-8.591743556047962e-07
cavallo,7926165.0,998661345.0,1184649930.0,171114871815.0,149494050390.0,234180211860.0,33078279281145.0,25835024236680.0,29400433762380.0,49721584833450.0,45288008256.49357,233456843.44173262,57121639820.55783,106397606732.15909,201251842572.53906,-175010934390.14062,-2354023587161.0186,0.0007208700849927654,3.7160400965492706e-06,0.0009092314486245374,6.015532632692193e-07,1.1378423477439189e-06,-9.894808908174767e-07,-1.3309233301028862e-05
cavallo,5821395.0,716066265.0,578694705.0,106653738015.0,73040008785.0,70251250755.0,17700486939615.0,11320038432645.0,9079529844195.0,9793335142005.0,18573321573.39962,1857112591.7977111,12724221306.725657,12183389674.486267,260904872334.48438,68982855606.25,279995844045.2521,0.0005480692560278462,5.48004465719384e-05,0.0003754715858200876,1.4900487023981738e-07,3.1909097292150132e-06,8.436717303647075e-07,3.4243954699257496e-06
cavallo,1456305.0,195289200.0,185838390.0,30572496720.0,27562275270.0,28521056400.0,5293279330290.0,4610732481240.0,4524947275380.0,5018750985060.0,4384389395.888635,2641513127.1878815,4806307636.6625805,17649416450.128788,941579250.9804688,26134608423.695312,152531238125.56348,0.0020673044405424158,0.0012455125045935354,0.0022662451307821426,6.896035669708498e-06,3.678968151137565e-07,1.0211396643788297e-05,5.959748651355615e-05
cavallo,3501150.0,481088610.0,371728545.0,81122043300.0,51776281710.0,48858244545.0,15125570995950.0,9058967111100.0,6912821288970.0,7598489171505.0,15016263578.556446,697530724.931537,9390609291.49272,-148038474183.95865,254280851695.17578,51153231863.8125,416986175875.7995,0.0012250122946535285,5.690388354396915e-05,0.0007660768456937353,-6.454280059092386e-06,1.1086306040048613e-05,2.2302126943463856e-06,1.8180041200154408e-05
cavallo,2846055.0,378397560.0,374464185.0,60809227800.0,52959437850.0,53153662425.0,10816416755040.0,8819043677040.0,7961379667170.0,8130526030275.0,10499338000.275953,3172510362.165569,3884261149.299348,-60362220364.050285,-25415860404.875,59494713777.15625,114807342146.40292,0.0012962099170981145,0.0003916665406359391,0.0004795366929027721,-4.417300913248194e-06,-1.8599299810433562e-06,4.353816872809912e-06,8.401589177010099e-06
cavallo,349350.0,52087320.0,39489300.0,10171310460.0,4530307305.0,6394799220.0,2169935752860.0,727417312305.0,663681576495.0,1177855464690.0,2405205107.824817,-1357460852.0802922,1931067104.671533,-63805993191.749565,-17523104378.899414,17116253306.845215,18447646538.126072,0.019707458572031385,-0.011122587183311133,0.01582252791719028,-0.0008845239653860632,-0.0002429177103241483,0.0002372776519914855,0.00025573436995027726
